flight_connection_id,ops_fid1,flight_id1,flight_id2,f1_sch_arr,f2_sch_dep,pax_sch_layover,conn1_num_passengers,conn1_min_mct,conn1_dest_cd,conn1_min_mct_sec,conn1_orig_cd,ops_fid2
557CHS2025-12-04_UA_5413,UA_557_2025-12-04_CHS_DEN_0_0,557CHS2025-12-04,5413DEN2025-12-05,1764897000,1764900600,3600,3,0,MRY,0,DEN,
557CHS2025-12-04_UA_2132,UA_557_2025-12-04_CHS_DEN_0_0,557CHS2025-12-04,2132DEN2025-12-05,1764897000,1764901200,4200,1,0,SMF,0,DEN,
2095MSY2025-12-02_UA_2618,UA_2095_2025-12-02_MSY_ORD_0_0,2095MSY2025-12-02,2618ORD2025-12-02,1764702600,1764706440,3840,1,40,STL,2400,ORD,
2095MSY2025-12-02_NH_111,UA_2095_2025-12-02_MSY_ORD_0_0,2095MSY2025-12-02,111ORD2025-12-02,1764702600,1764714300,11700,3,40,HND,2400,ORD,
1374TUS2025-12-04_UA_506,UA_1374_2025-12-04_TUS_DEN_0_0,1374TUS2025-12-04,506DEN2025-12-05,1764890700,1764897000,6300,1,0,MCI,0,DEN,
1374TUS2025-12-04_UA_1773,UA_1374_2025-12-04_TUS_DEN_0_0,1374TUS2025-12-04,1773DEN2025-12-05,1764890700,1764901560,10860,1,0,SLC,0,DEN,
1374TUS2025-12-04_UA_5600,UA_1374_2025-12-04_TUS_DEN_0_0,1374TUS2025-12-04,5600DEN2025-12-05,1764890700,1764895500,4800,1,0,PIA,0,DEN,
2095MSY2025-12-02_UA_5360,UA_2095_2025-12-02_MSY_ORD_0_0,2095MSY2025-12-02,5360ORD2025-12-02,1764702600,1764704760,2160,1,40,MBS,2400,ORD,
2095MSY2025-12-02_UA_972,UA_2095_2025-12-02_MSY_ORD_0_0,2095MSY2025-12-02,972ORD2025-12-02,1764702600,1764719700,17100,4,0,BRU,0,ORD,
1374TUS2025-12-04_UA_1411,UA_1374_2025-12-04_TUS_DEN_0_0,1374TUS2025-12-04,1411DEN2025-12-05,1764890700,1764894900,4200,4,0,ORD,0,DEN,
1374TUS2025-12-04_UA_2408,UA_1374_2025-12-04_TUS_DEN_0_0,1374TUS2025-12-04,2408DEN2025-12-05,1764890700,1764896160,5460,2,0,IAD,0,DEN,
2095MSY2025-12-02_UA_4567,UA_2095_2025-12-02_MSY_ORD_0_0,2095MSY2025-12-02,4567ORD2025-12-02,1764702600,1764708000,5400,2,40,LEX,2400,ORD,
2855SAN2025-12-03_UA_194,UA_2855_2025-12-03_SAN_SFO_0_0,2855SAN2025-12-03,194SFO2025-12-03,1764790860,1764797400,6540,2,0,MUC,0,SFO,
1105MIA2025-12-03_UA_1381,UA_1105_2025-12-03_MIA_IAH_0_0,1105MIA2025-12-03,1381IAH2025-12-04,1764797160,1764808560,11400,2,45,LAX,2700,IAH,
2853SAT2025-12-02_UA_1217,UA_2853_2025-12-02_SAT_DEN_0_0,2853SAT2025-12-02,1217DEN2025-12-02,1764694860,1764700080,5220,4,0,DRO,0,DEN,
2853SAT2025-12-02_UA_301,UA_2853_2025-12-02_SAT_DEN_0_0,2853SAT2025-12-02,301DEN2025-12-02,1764694860,1764701820,6960,8,0,RAP,0,DEN,
2853SAT2025-12-02_UA_5055,UA_2853_2025-12-02_SAT_DEN_0_0,2853SAT2025-12-02,5055DEN2025-12-02,1764694860,1764702900,8040,1,0,GCC,0,DEN,
2855SAN2025-12-03_LH_455,UA_2855_2025-12-03_SAN_SFO_0_0,2855SAN2025-12-03,455SFO2025-12-03,1764790860,1764801600,10740,2,50,FRA,3000,SFO,
2855SAN2025-12-03_UA_1957,UA_2855_2025-12-03_SAN_SFO_0_0,2855SAN2025-12-03,1957SFO2025-12-03,1764790860,1764797100,6240,2,0,OGG,0,SFO,
2853SAT2025-12-02_UA_1378,UA_2853_2025-12-02_SAT_DEN_0_0,2853SAT2025-12-02,1378DEN2025-12-02,1764694860,1764700200,5340,3,0,EGE,0,DEN,
1105MIA2025-12-03_UA_5237,UA_1105_2025-12-03_MIA_IAH_0_0,1105MIA2025-12-03,5237IAH2025-12-04,1764797160,1764807000,9840,2,45,AGU,2700,IAH,
2853SAT2025-12-02_UA_5554,UA_2853_2025-12-02_SAT_DEN_0_0,2853SAT2025-12-02,5554DEN2025-12-02,1764694860,1764700200,5340,1,0,SUN,0,DEN,
1105MIA2025-12-03_UA_1571,UA_1105_2025-12-03_MIA_IAH_0_0,1105MIA2025-12-03,1571IAH2025-12-03,1764797160,1764802500,5340,2,45,MCO,2700,IAH,UA_1571_2025-12-03_IAH_MCO_0_0
2853SAT2025-12-02_UA_295,UA_2853_2025-12-02_SAT_DEN_0_0,2853SAT2025-12-02,295DEN2025-12-02,1764694860,1764699300,4440,1,0,GEG,0,DEN,UA_295_2025-12-02_DEN_GEG_0_0
2853SAT2025-12-02_UA_5298,UA_2853_2025-12-02_SAT_DEN_0_0,2853SAT2025-12-02,5298DEN2025-12-02,1764694860,1764700500,5640,1,0,PSC,0,DEN,
2853SAT2025-12-02_UA_535,UA_2853_2025-12-02_SAT_DEN_0_0,2853SAT2025-12-02,535DEN2025-12-02,1764694860,1764701400,6540,2,0,SJC,0,DEN,
1105MIA2025-12-03_UA_6233,UA_1105_2025-12-03_MIA_IAH_0_0,1105MIA2025-12-03,6233IAH2025-12-03,1764797160,1764801000,3840,2,45,MAF,2700,IAH,
2853SAT2025-12-02_UA_5495,UA_2853_2025-12-02_SAT_DEN_0_0,2853SAT2025-12-02,5495DEN2025-12-02,1764694860,1764699900,5040,2,0,MOT,0,DEN,
1105MIA2025-12-03_AC_1301,UA_1105_2025-12-03_MIA_IAH_0_0,1105MIA2025-12-03,1301IAH2025-12-03,1764797160,1764804300,7140,2,45,YVR,2700,IAH,
2853SAT2025-12-02_UA_639,UA_2853_2025-12-02_SAT_DEN_0_0,2853SAT2025-12-02,639DEN2025-12-02,1764694860,1764699600,4740,4,0,MSO,0,DEN,
2853SAT2025-12-02_UA_1714,UA_2853_2025-12-02_SAT_DEN_0_0,2853SAT2025-12-02,1714DEN2025-12-02,1764694860,1764700500,5640,1,0,GJT,0,DEN,
2853SAT2025-12-02_UA_5096,UA_2853_2025-12-02_SAT_DEN_0_0,2853SAT2025-12-02,5096DEN2025-12-02,1764694860,1764699300,4440,2,0,COD,0,DEN,
2853SAT2025-12-02_UA_526,UA_2853_2025-12-02_SAT_DEN_0_0,2853SAT2025-12-02,526DEN2025-12-02,1764694860,1764699600,4740,2,0,LAS,0,DEN,
1105MIA2025-12-03_UA_831,UA_1105_2025-12-03_MIA_IAH_0_0,1105MIA2025-12-03,831IAH2025-12-04,1764797160,1764808200,11040,1,45,EZE,2700,IAH,
2853SAT2025-12-02_UA_2064,UA_2853_2025-12-02_SAT_DEN_0_0,2853SAT2025-12-02,2064DEN2025-12-02,1764694860,1764708000,13140,2,0,PSP,0,DEN,
222ATL2025-12-03_UA_2617,UA_222_2025-12-03_ATL_IAH_0_0,222ATL2025-12-03,2617IAH2025-12-03,1764789720,1764801900,12180,1,45,PHX,2700,IAH,
222ATL2025-12-03_UA_6146,UA_222_2025-12-03_ATL_IAH_0_0,222ATL2025-12-03,6146IAH2025-12-03,1764789720,1764793200,3480,1,45,CRP,2700,IAH,
1500CID2025-12-04_UA_1217,UA_1500_2025-12-04_CID_DEN_0_0,1500CID2025-12-04,1217DEN2025-12-04,1764867900,1764872880,4980,1,0,DRO,0,DEN,UA_1217_2025-12-04_DEN_DRO_0_0
