ops_fid,flight_id,aid,sch_date,sch_st_dep,sch_st_arr,epoch_sch_dep,epoch_sch_arr,prev_ops_fid,next_ops_fid,gmt_offset_dep,gmt_offset_arr,epoch_est_dep,epoch_est_arr,turn,ops_mst_calc,sch_mst_calc,total_seat,prev_turn_time,is_mx,total_pax,J_pax,O_pax,Y_pax,num_connx_pax,delay_penalty,cancel_penalty,swap_options,prev_station,prev_aid
UA_2259_2025-09-20_ORD_MSN_0_0,2259ORD2025-09-20,4897,2025-09-20,ORD,MSN,1758409440,1758413340,UA_573_2025-09-20_BOI_ORD_0_0,UA_1625_2025-09-21_MSN_ORD_0_0,-5,-5,1758409440,1758413340,2880,2580,2580,126,2580,false,103,8,0,95,0,103,2224800,[UA_1504_2025-09-20_ORD_CVG_0_0],ORD,4897
UA_1625_2025-09-21_MSN_ORD_0_0,1625MSN2025-09-21,4897,2025-09-21,MSN,ORD,1758460500,1758464520,UA_2259_2025-09-20_ORD_MSN_0_0,UA_2653_2025-09-21_ORD_RDU_0_0,-5,-5,1758460500,1758464520,5100,2580,2580,126,2580,false,126,3,0,123,122,126,2721600,,MSN,4897
UA_2653_2025-09-21_ORD_RDU_0_0,2653ORD2025-09-21,4897,2025-09-21,ORD,RDU,1758470460,1758478320,UA_1625_2025-09-21_MSN_ORD_0_0,UA_2395_2025-09-21_RDU_EWR_0_0,-5,-4,1758470460,1758478320,2880,2580,2580,126,2580,false,123,11,0,112,0,123,2656800,"[UA_2144_2025-09-21_ORD_YYZ_0_0, UA_442_2025-09-21_ORD_ORF_0_0, UA_2635_2025-09-21_ORD_CLT_0_0, UA_2164_2025-09-21_ORD_ABQ_0_0, UA_2455_2025-09-21_ORD_SAV_0_0, UA_233_2025-09-21_ORD_TVC_0_0]",ORD,4897
UA_2395_2025-09-21_RDU_EWR_0_0,2395RDU2025-09-21,4897,2025-09-21,RDU,EWR,1758482520,1758488460,UA_2653_2025-09-21_ORD_RDU_0_0,UA_676_2025-09-21_EWR_AUS_0_0,-4,-4,1758482520,1758488460,2520,2580,2580,126,2580,false,112,7,0,105,27,112,2419200,[UA_2463_2025-09-21_RDU_IAD_0_0],RDU,4897
UA_676_2025-09-21_EWR_AUS_0_0,676EWR2025-09-21,4897,2025-09-21,EWR,AUS,1758495540,1758510300,UA_2395_2025-09-21_RDU_EWR_0_0,,-4,-5,1758495540,1758510300,2880,2580,2580,126,2580,false,116,7,0,109,0,116,2505600,"[UA_1004_2025-09-21_EWR_CLT_0_0, UA_2127_2025-09-21_EWR_CLT_0_0, UA_2856_2025-09-21_EWR_DFW_0_0]",EWR,4897
UA_1498_2025-09-19_JAC_SFO_0_0,1498JAC2025-09-19,4898,2025-09-19,JAC,SFO,1758295800,1758304500,,UA_394_2025-09-19_SFO_SLC_0_0,-6,-7,1758295800,1758304500,5100,2580,2580,126,2580,false,74,11,0,63,24,74,1598400,,,0000
UA_394_2025-09-19_SFO_SLC_0_0,394SFO2025-09-19,4898,2025-09-19,SFO,SLC,1758311760,1758318480,UA_1498_2025-09-19_JAC_SFO_0_0,UA_646_2025-09-19_SLC_SFO_0_0,-7,-6,1758311760,1758318480,2880,2580,2580,126,2580,false,121,11,0,110,0,121,2613600,"[UA_1668_2025-09-19_SFO_PDX_0_0, UA_2448_2025-09-19_SFO_JAC_0_0, UA_255_2025-09-19_SFO_AUS_0_0]",SFO,4898
UA_646_2025-09-19_SLC_SFO_0_0,646SLC2025-09-19,4898,2025-09-19,SLC,SFO,1758321900,1758329400,UA_394_2025-09-19_SFO_SLC_0_0,UA_2216_2025-09-19_SFO_BUR_0_0,-6,-7,1758321900,1758329400,2520,2580,2580,126,2580,false,114,11,0,103,43,114,2462400,,SLC,4898
UA_2216_2025-09-19_SFO_BUR_0_0,2216SFO2025-09-19,4898,2025-09-19,SFO,BUR,1758339600,1758344340,UA_646_2025-09-19_SLC_SFO_0_0,UA_488_2025-09-20_BUR_SFO_0_0,-7,-7,1758339600,1758344340,2880,2580,2580,126,2580,false,94,11,0,83,0,94,2030400,"[UA_1743_2025-09-19_SFO_SBA_0_0, UA_210_2025-09-19_SFO_ONT_0_0, UA_653_2025-09-19_SFO_PDX_0_0]",SFO,4898
UA_488_2025-09-20_BUR_SFO_0_0,488BUR2025-09-20,4898,2025-09-20,BUR,SFO,1758377880,1758383400,UA_2216_2025-09-19_SFO_BUR_0_0,UA_1245_2025-09-20_SFO_BOI_0_0,-7,-7,1758377880,1758383400,5100,2580,2580,126,2580,false,124,10,0,114,21,124,2678400,,BUR,4898
